,DATE,CIK,ELEMENTYPE,TEXT
0,1996-04-02,736970,TEXT,
1,1996-04-02,708484,TEXT,
2,1996-04-02,23249,TEXT,
3,1996-04-02,909832,TEXT,
4,1996-04-03,709355,TEXT,
5,1996-04-03,859307,TEXT,
6,1996-04-03,74154,TEXT,
7,1996-04-03,89902,TEXT,
8,1996-04-05,42228,TEXT,
9,1996-04-05,88296,TEXT,
0,1996-04-05,96879,TEXT,
1,1996-04-08,32166,TEXT,
2,1996-04-08,726514,TEXT,
3,1996-04-08,34236,TEXT,
4,1996-04-08,34408,TEXT,
5,1996-04-08,841692,TEXT,
6,1996-04-08,40704,TEXT,
7,1996-02-28,798359,TEXT,
8,1996-04-08,835541,TEXT,
9,1996-04-08,62262,TEXT,
0,1996-04-10,723889,TEXT,
1,1996-04-10,89615,TEXT,
2,1996-04-10,778977,TEXT,
3,1996-04-10,350067,TEXT,
4,1996-04-10,312907,TEXT,
5,1996-04-11,277666,TEXT,
6,1996-04-11,12779,TEXT,
7,1996-04-11,823975,TEXT,
8,1996-04-11,798044,TEXT,
9,1996-04-11,46189,TEXT,
0,1996-04-08,715073,TEXT,
1,1996-04-09,830524,TEXT,
2,1996-04-09,225261,TEXT,
3,1996-04-09,875159,TEXT,
4,1996-04-09,356830,TEXT,
5,1996-04-09,76744,TEXT,
6,1996-04-09,736893,TEXT,
7,1996-04-10,1750,TEXT,
8,1996-04-10,796343,TEXT,
9,1996-03-15,736970,TEXT,
9,1996-04-01,355356,TEXT,
0,1996-04-12,794927,TEXT,
1,1996-04-12,804188,TEXT,
2,1996-04-12,815097,TEXT,
3,1996-04-12,785080,TEXT,
4,1996-04-12,833226,TEXT,
5,1996-04-12,20740,TEXT,
6,1996-04-12,22444,TEXT,
7,1996-04-12,91817,TEXT,
8,1996-04-12,26093,TEXT,
9,1996-04-12,802492,TEXT,
0,1996-04-12,96116,TEXT,
1,1996-04-12,740693,TEXT,
2,1996-04-12,110740,TEXT,
3,1996-04-12,98559,TEXT,
4,1996-04-12,102710,TEXT,
5,1996-04-12,837173,TEXT,
6,1996-04-12,105076,TEXT,
7,1996-04-12,105132,TEXT,
8,1996-04-12,108018,TEXT,
9,1996-04-12,108516,TEXT,
