,DATE,CIK,ELEMENTYPE,TEXT
4,1998-11-12,1043161,TEXT,
9,1998-05-14,1043161,TEXT,
0,1998-08-12,1043161,TEXT,
7,1998-02-12,931198,BAD_URL,
8,1998-02-13,931198,BAD_URL,
9,1998-02-13,931198,BAD_URL,
5,1998-02-12,1092481,TEXT,
6,1998-02-13,1092481,TEXT,
7,1998-02-13,1092481,TEXT,
6,1998-01-02,350001,BAD_URL,
7,1998-01-02,908440,TEXT,
8,1998-01-05,886137,TEXT,
9,1998-01-05,860518,TEXT,
0,1998-01-07,312907,TEXT,
2,1998-01-08,911634,TEXT,
3,1998-01-08,1046112,TEXT,
4,1998-01-08,16160,TEXT,
5,1998-01-08,879573,TEXT,
6,1998-01-08,31667,TEXT,
7,1998-01-08,1044440,TEXT,
8,1998-01-08,813742,TEXT,
9,1998-01-08,356590,FAILED,
0,1998-01-07,40704,TEXT,
1,1998-01-07,1004571,TEXT,
2,1998-01-07,778709,TEXT,
3,1998-01-07,351012,TEXT,
4,1998-01-07,16099,TEXT,
5,1998-01-07,874385,TEXT,
6,1998-01-07,1018349,TEXT,
0,1998-01-12,758953,TEXT,
1,1998-01-12,758953,TEXT,
2,1998-01-12,758953,TEXT,
3,1998-01-12,867490,TEXT,
4,1998-01-12,756428,TEXT,
5,1998-01-12,700913,TEXT,
6,1998-01-12,779339,TEXT,
7,1998-01-12,76321,TEXT,
8,1998-01-12,813765,TEXT,
9,1998-01-12,84129,TEXT,
0,1998-01-09,46189,TEXT,
1,1998-01-09,352868,TEXT,
2,1998-01-09,745469,TEXT,
3,1998-01-09,875174,TEXT,
4,1998-01-09,66382,TEXT,
5,1998-01-09,75288,TEXT,
6,1998-01-09,825790,TEXT,
9,1998-01-09,719544,TEXT,
0,1998-01-13,88296,TEXT,
1,1998-01-13,878314,TEXT,
2,1998-01-13,949301,TEXT,
3,1998-01-13,93384,TEXT,
4,1998-01-13,927760,TEXT,
5,1998-01-13,724742,TEXT,
6,1998-01-13,318833,TEXT,
7,1998-01-13,96879,TEXT,
8,1998-01-13,736893,TEXT,
9,1998-01-13,97472,TEXT,
0,1998-01-05,818008,TEXT,
1,1998-01-05,1043339,TEXT,
2,1998-01-05,934509,TEXT,
3,1998-01-06,352869,TEXT,
4,1998-01-06,866787,TEXT,
5,1998-01-06,816249,TEXT,
6,1998-01-06,27500,TEXT,
8,1998-01-06,866609,TEXT,
9,1998-01-06,756764,TEXT,
0,1998-01-13,356830,TEXT,
1,1998-01-13,43300,TEXT,
2,1998-01-13,1029294,TEXT,
3,1998-01-13,1029294,TEXT,
4,1998-01-13,934798,TEXT,
5,1998-01-13,934798,TEXT,
6,1998-01-13,934799,TEXT,
