,DATE,CIK,ELEMENTYPE,TEXT
0,1995-04-03,723371,TEXT,
1,1995-03-17,55529,TEXT,
2,1995-03-24,836157,TEXT,
3,1995-03-27,706471,TEXT,
4,1995-04-03,70502,TEXT,
5,1995-03-17,73864,TEXT,
6,1995-03-09,203159,TEXT,
7,1995-03-24,723531,TEXT,
8,1995-03-09,766592,TEXT,
9,1995-03-16,80420,TEXT,
0,1995-04-13,6955,TEXT,
1,1995-04-13,807707,TEXT,
2,1995-04-13,350067,TEXT,
3,1995-04-13,277666,TEXT,
4,1995-04-13,12779,TEXT,
5,1995-04-13,791269,TEXT,
6,1995-04-13,20164,TEXT,
7,1995-04-13,713138,TEXT,
8,1995-04-13,765878,TEXT,
9,1995-04-13,30927,TEXT,
0,1995-04-10,16099,TEXT,
1,1995-04-10,74154,TEXT,
2,1995-04-10,739608,TEXT,
3,1995-04-10,88296,TEXT,
4,1995-04-10,89615,TEXT,
5,1995-04-10,778977,TEXT,
6,1995-04-10,811801,TEXT,
7,1995-04-11,27500,TEXT,
8,1995-04-11,38868,TEXT,
9,1995-04-11,841692,TEXT,
0,1995-04-11,40704,TEXT,
1,1995-04-11,356830,TEXT,
2,1995-04-11,778709,TEXT,
3,1995-04-11,51548,TEXT,
4,1995-04-11,354604,TEXT,
5,1995-04-11,745213,TEXT,
6,1995-04-11,783728,TEXT,
7,1995-04-11,85417,TEXT,
8,1995-04-11,736893,TEXT,
9,1995-04-11,110740,TEXT,
0,1995-04-12,778107,TEXT,
1,1995-04-12,748015,TEXT,
2,1995-04-12,740693,TEXT,
3,1995-04-12,98559,TEXT,
4,1995-04-12,102710,TEXT,
5,1995-04-12,850882,TEXT,
6,1995-04-12,108703,TEXT,
7,1995-04-13,3545,TEXT,
8,1995-04-13,804742,TEXT,
9,1995-04-13,793029,TEXT,
4,1995-03-09,736970,TEXT,
5,1995-03-17,794619,TEXT,
6,1995-04-03,19520,TEXT,
7,1995-03-09,789869,TEXT,
8,1995-04-03,91817,TEXT,
9,1995-03-09,33769,TEXT,
0,1995-04-13,779339,TEXT,
1,1995-04-13,76321,TEXT,
2,1995-04-13,77281,TEXT,
3,1995-04-13,78716,TEXT,
4,1995-04-13,355948,TEXT,
5,1995-04-13,84290,TEXT,
6,1995-04-13,110621,TEXT,
7,1995-04-13,811917,TEXT,
8,1995-04-13,96116,TEXT,
9,1995-04-13,97472,TEXT,
0,1995-04-12,31348,TEXT,
1,1995-04-12,46189,TEXT,
2,1995-04-12,39368,TEXT,
3,1995-04-12,818017,TEXT,
4,1995-04-12,351012,TEXT,
5,1995-04-12,723888,TEXT,
6,1995-04-12,59479,TEXT,
7,1995-04-12,318251,TEXT,
8,1995-04-12,806388,TEXT,
9,1995-04-12,80051,TEXT,
0,1995-04-14,762131,TEXT,
1,1995-04-14,87565,TEXT,
2,1995-04-10,89615,TEXT,
3,1995-04-14,354260,TEXT,
4,1995-04-14,92521,TEXT,
5,1995-04-14,94887,TEXT,
6,1995-04-11,736893,TEXT,
7,1995-04-11,110740,TEXT,
8,1995-04-14,38851,TEXT,
9,1995-04-14,61442,TEXT,
0,1995-04-13,34616,TEXT,
1,1995-04-13,230211,TEXT,
2,1995-04-13,44041,TEXT,
3,1995-04-13,811081,TEXT,
4,1995-04-13,47268,TEXT,
5,1995-04-13,706120,TEXT,
6,1995-04-13,769330,TEXT,
7,1995-04-13,706003,TEXT,
