,ACCOUNTSPAYABLEANDACCRUEDLIABILITIESCURRENT,ACCOUNTSPAYABLECURRENT,ACCOUNTSPAYABLEOTHERCURRENT,ACCOUNTSPAYABLERELATEDPARTIESCURRENT,ACCOUNTSPAYABLETRADECURRENT,ACCRUEDLIABILITIESCURRENT,BANKOVERDRAFTS,BRIDGELOAN,CAPITALLEASEOBLIGATIONSCURRENT,CAPITALLEASEOBLIGATIONSNONCURRENT,CIK,COMMERCIALPAPER,COMMERCIALPAPERNONCURRENT,CONSTRUCTIONLOAN,CONSTRUCTIONLOANNONCURRENT,CONVERTIBLEDEBTCURRENT,CONVERTIBLEDEBTNONCURRENT,CONVERTIBLELONGTERMNOTESPAYABLE,CONVERTIBLENOTESPAYABLECURRENT,CONVERTIBLESUBORDINATEDDEBTCURRENT,CONVERTIBLESUBORDINATEDDEBTNONCURRENT,DATE,DEBTCURRENT,EXTRACTCODE,FINALLONGTERM,FINALSHORTTERM,JUNIORSUBORDINATEDLONGTERMNOTES,JUNIORSUBORDINATEDNOTESCURRENT,LIABILITIESCURRENT,LIABILITIESNONCURRENT,LIABILITIESOTHERTHANLONGTERMDEBTNONCURRENT,LINESOFCREDITCURRENT,LOANSPAYABLECURRENT,LOANSPAYABLETOBANKCURRENT,LONGTERMCOMMERCIALPAPERCURRENT,LONGTERMCONSTRUCTIONLOANCURRENT,LONGTERMDEBTANDCAPITALLEASEOBLIGATIONS,LONGTERMDEBTANDCAPITALLEASEOBLIGATIONSCURRENT,LONGTERMDEBTCURRENT,LONGTERMDEBTNONCURRENT,LONGTERMLINEOFCREDIT,LONGTERMLOANSFROMBANK,LONGTERMLOANSPAYABLE,LONGTERMNOTESANDLOANS,LONGTERMNOTESPAYABLE,LONGTERMPOLLUTIONCONTROLBOND,LONGTERMPOLLUTIONCONTROLBONDCURRENT,LONGTERMTRANSITIONBOND,LONGTERMTRANSITIONBONDCURRENT,MEDIUMTERMNOTESCURRENT,NAME,NOTESANDLOANSPAYABLECURRENT,NOTESPAYABLECURRENT,NOTESPAYABLETOBANKCURRENT,NOTESPAYABLETOBANKNONCURRENT,OTHERACCRUEDLIABILITIESCURRENT,OTHERLIABILITIESCURRENT,OTHERLOANSPAYABLECURRENT,OTHERLOANSPAYABLELONGTERM,OTHERLONGTERMDEBTCURRENT,OTHERLONGTERMDEBTNONCURRENT,OTHERLONGTERMNOTESPAYABLE,OTHERNOTESPAYABLECURRENT,OTHERSHORTTERMBORROWINGS,SECUREDDEBTCURRENT,SECUREDLONGTERMDEBT,SECURITIESSOLDUNDERAGREEMENTSTOREPURCHASE,SENIORLONGTERMNOTES,SENIORNOTESCURRENT,SHORTTERMBANKLOANSANDNOTESPAYABLE,SHORTTERMBORROWINGS,SHORTTERMNONBANKLOANSANDNOTESPAYABLE,SUBORDINATEDDEBTCURRENT,SUBORDINATEDLONGTERMDEBT,UNSECUREDDEBTCURRENT,UNSECUREDLONGTERMDEBT,WAREHOUSEAGREEMENTBORROWINGS
0,3200.0,,,,,,,,,,1499717,,,,,,,,,,,2012-01-04,,XBRL,,3200.0,,,3200.0,,,,,,,,,,,,,,,,,,,,,,GOLDEN FORK CORP,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1488700000.0,853600000.0,,,,635100000.0,,,,,1285785,,,,,,,,,,,2012-01-04,541800000.0,XBRL,1008900000.0,28300000.0,,,2098700000.0,,,,,,,,1008900000.0,513500000.0,,,,,,,,,,,,,MOSAIC CO,,,,,,,,,,,,,,,,,,,,28300000.0,,,,,,
2,520315.0,,,,,,,,,,792935,,,,,,,,,,,2012-01-04,,HTML,3026428.0,520315.0,,,3026428.0,3026428.0,,,,,,,,,,,,,,,,,,,,,NOVA NATURAL RESOURCES CORP,,,,,,,,,,,,,,,,,,,,,,,,,,
3,164160000.0,57421000.0,,,,,,,,,278130,,,,,,,,,,,2012-01-04,16542000.0,XBRL,9500000.0,16542000.0,,,236355000.0,,,,,,,,,16542000.0,16542000.0,9500000.0,,,,,,,,,,,PIER 1 IMPORTS INC/DE,,,,,106739000.0,,,,,,,,,,,,,,,,,,,,,
4,195000000.0,195000000.0,,,,,,,,,1050825,,,,,,,,,,,2012-01-04,255500000.0,XBRL,291300000.0,255500000.0,,,736800000.0,541300000.0,,,,,,,,,,291300000.0,,,,,,,,,,,STEELCASE INC,,,,,,134500000.0,,,,,,,,,,,,,,,,,,,,
5,25232000.0,11391000.0,,,,13841000.0,,,,,1275187,,,,,,,,,,,2012-01-05,275000.0,XBRL,6275000.0,275000.0,,,25507000.0,,,,,,,,,275000.0,275000.0,6275000.0,,,,,,,,,,,ANGIODYNAMICS INC,,,,,,,,,,,,,,,,,,,,,,,,,,
6,59060000.0,34943000.0,,,,24117000.0,,,,,6845,,,,,,,,,,,2012-01-05,987000.0,XBRL,21442000.0,987000.0,,,113946000.0,,,,,,,,,987000.0,987000.0,21442000.0,,,,,,,,,,,"APOGEE ENTERPRISES, INC.",,,,,,,,,,,,,,,,,,,,,,,,,,
7,483374000.0,65963000.0,,,,379771000.0,,,,,929887,,,,,,,,,,,2012-01-05,27598000.0,XBRL,86739000.0,27598000.0,,,1318362000.0,,,,,,,,86739000.0,,,,,,,,,,,,,,APOLLO GROUP INC,,,,,37640000.0,50420000.0,,,,,,,,,,,,,,,,,,,,
8,37080000.0,15149000.0,,,,,,,,,883943,,,,,,,,,,,2012-01-05,,XBRL,24971000.0,37080000.0,,,44963000.0,24971000.0,,,,,,,,,,,,,,,,,,,,,CHRISTOPHER & BANKS CORP,,,,,21931000.0,,,,,,,,,,,,,,,,,,,,,
9,995881000.0,685063000.0,,,,310818000.0,,,,,34408,,,,,,,,,,,2012-01-05,91200000.0,XBRL,532370000.0,91200000.0,,,1017055000.0,,,75000000.0,,,,,,91200000.0,91200000.0,532370000.0,,,,532370000.0,532370000.0,,,,,,FAMILY DOLLAR STORES INC,16200000.0,16200000.0,,,,,,,,,,,,,,,532370000.0,16200000.0,,,,,,,,
0,51182.0,51182.0,,,,,,,,,1002360,,,,,,,,,,,2012-01-06,,HTML,1128436.0,51182.0,,,338397.0,1128436.0,,,,,,,,,,,,,,,,,,,,,"ABSOLUTE POTENTIAL, INC.",,,,,,,,,,,,,,,,,,,,,,,,,,
1,57411.0,57411.0,,,,,,,,,1002360,,,,,,,,,,,2012-01-06,,XBRL,,57411.0,,,344626.0,,,,,,,,,,,,,,,,,,,,,,"ABSOLUTE POTENTIAL, INC.",,,,,,,,,,,,,,,,,,,,,,,,,,
2,21713896.0,21713896.0,,,,,,,,,8947,,,,,,,,,,,2012-01-06,14285714.0,XBRL,225000000.0,14285714.0,,,58186230.0,,,,,,,,,,,225000000.0,,,,,,,,,,,AZZ INC,,,,,,19158165.0,,,,,,,,,,,,,,,,,,,,
3,56777.0,,,,,,,,,,722833,,,,,,,,,,,2012-01-06,,HTML,210297.0,56777.0,,,56777.0,210297.0,,,,,,,,,,,,,,,,,,,,,CAPITAL REALTY INVESTORS III LTD PARTNERSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,
4,59547.0,,,,,,,,,,740371,,,,,,,,,,,2012-01-06,,HTML,8507335.0,59547.0,,,59547.0,8507335.0,,,,,,,,,,,,,,,,,,,,,CAPITAL REALTY INVESTORS IV LIMITED PARTNERSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,
