,ACCOUNTSPAYABLEANDACCRUEDLIABILITIESCURRENT,ACCOUNTSPAYABLECURRENT,ACCOUNTSPAYABLEOTHERCURRENT,ACCOUNTSPAYABLERELATEDPARTIESCURRENT,ACCOUNTSPAYABLETRADECURRENT,ACCRUEDLIABILITIESCURRENT,BANKOVERDRAFTS,BRIDGELOAN,CAPITALLEASEOBLIGATIONSCURRENT,CAPITALLEASEOBLIGATIONSNONCURRENT,CIK,COMMERCIALPAPER,COMMERCIALPAPERNONCURRENT,CONSTRUCTIONLOAN,CONSTRUCTIONLOANNONCURRENT,CONVERTIBLEDEBTCURRENT,CONVERTIBLEDEBTNONCURRENT,CONVERTIBLELONGTERMNOTESPAYABLE,CONVERTIBLENOTESPAYABLECURRENT,CONVERTIBLESUBORDINATEDDEBTCURRENT,CONVERTIBLESUBORDINATEDDEBTNONCURRENT,DATE,DEBTCURRENT,EXTRACTCODE,FINALLONGTERM,FINALSHORTTERM,JUNIORSUBORDINATEDLONGTERMNOTES,JUNIORSUBORDINATEDNOTESCURRENT,LIABILITIESCURRENT,LIABILITIESNONCURRENT,LIABILITIESOTHERTHANLONGTERMDEBTNONCURRENT,LINESOFCREDITCURRENT,LOANSPAYABLECURRENT,LOANSPAYABLETOBANKCURRENT,LONGTERMCOMMERCIALPAPERCURRENT,LONGTERMCONSTRUCTIONLOANCURRENT,LONGTERMDEBTANDCAPITALLEASEOBLIGATIONS,LONGTERMDEBTANDCAPITALLEASEOBLIGATIONSCURRENT,LONGTERMDEBTCURRENT,LONGTERMDEBTNONCURRENT,LONGTERMLINEOFCREDIT,LONGTERMLOANSFROMBANK,LONGTERMLOANSPAYABLE,LONGTERMNOTESANDLOANS,LONGTERMNOTESPAYABLE,LONGTERMPOLLUTIONCONTROLBOND,LONGTERMPOLLUTIONCONTROLBONDCURRENT,LONGTERMTRANSITIONBOND,LONGTERMTRANSITIONBONDCURRENT,MEDIUMTERMNOTESCURRENT,NAME,NOTESANDLOANSPAYABLECURRENT,NOTESPAYABLECURRENT,NOTESPAYABLETOBANKCURRENT,NOTESPAYABLETOBANKNONCURRENT,OTHERACCRUEDLIABILITIESCURRENT,OTHERLIABILITIESCURRENT,OTHERLOANSPAYABLECURRENT,OTHERLOANSPAYABLELONGTERM,OTHERLONGTERMDEBTCURRENT,OTHERLONGTERMDEBTNONCURRENT,OTHERLONGTERMNOTESPAYABLE,OTHERNOTESPAYABLECURRENT,OTHERSHORTTERMBORROWINGS,SECUREDDEBTCURRENT,SECUREDLONGTERMDEBT,SECURITIESSOLDUNDERAGREEMENTSTOREPURCHASE,SENIORLONGTERMNOTES,SENIORNOTESCURRENT,SHORTTERMBANKLOANSANDNOTESPAYABLE,SHORTTERMBORROWINGS,SHORTTERMNONBANKLOANSANDNOTESPAYABLE,SUBORDINATEDDEBTCURRENT,SUBORDINATEDLONGTERMDEBT,UNSECUREDDEBTCURRENT,UNSECUREDLONGTERMDEBT,WAREHOUSEAGREEMENTBORROWINGS
0,41292.0,41292.0,,,,,,,,,877476,,,,,,,,,,,2006-04-03,,HTML,138348.0,41292.0,,,119796.0,138348.0,,,,,,,,,,,,,,,,,,,,,AMERICA SERVICE GROUP INC /DE,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7693.0,,,,7693.0,,,,,,841692,,,,,,,,,,,2006-04-03,,HTML,,7693.0,,,23018.0,,2375.0,,,,,,,,,,,,,,,,,,,,FSI INTERNATIONAL INC,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2376.0,1126.0,,,,,,,,,40704,,,,,,,,,,,2006-04-03,1344.0,HTML,2502.0,1344.0,,,6261.0,11542.0,,,,,,,,1344.0,1344.0,2502.0,,,,,,,,,,,GENERAL MILLS INC,,,,,1250.0,,,,,,,,,,,,,,,,,,,,,
3,23586.0,3801.0,,821.0,,,,,,,55604,,,,,,,,,,,2006-04-03,,TEXT,51640.0,23586.0,,,75226.0,,,,,,,,,,,51640.0,,,,,,,,,,,KEYSTONE CONSOLIDATED INDUSTRIES INC,,,,,18964.0,,,,,,,,,,,,,,,,,,,,,
4,23586.0,3801.0,,821.0,,,,,,,55604,,,,,,,,,,,2006-04-03,,TEXT,51640.0,23586.0,,,75226.0,,,,,,,,,,,51640.0,,,,,,,,,,,KEYSTONE CONSOLIDATED INDUSTRIES INC,,,,,18964.0,,,,,,,,,,,,,,,,,,,,,
5,23586.0,3801.0,,821.0,,,,,,,55604,,,,,,,,,,,2006-04-03,,TEXT,51640.0,23586.0,,,75226.0,28811.0,,,,,,,,,,51640.0,,,,,,,,,,,KEYSTONE CONSOLIDATED INDUSTRIES INC,,,,,18964.0,,,,,,,,,,,,,,,,,,,,,
6,65466.0,56815.0,,,,,,,,,883979,,,,,,,,,,,2006-04-03,3686.0,TEXT,,3686.0,,,86287.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,POMEROY IT SOLUTIONS INC,0.0,0.0,,,8651.0,,,,,,,,,,,,,,,3686.0,,,,,,
7,211824.0,34735.0,,,,,,,,,879573,,,,,,,,,,,2006-04-04,5738.0,HTML,2129080.0,5738.0,,,211949.0,,,,,,,,,5738.0,5738.0,2129080.0,,,,,,,,,,,CENTENNIAL COMMUNICATIONS CORP /DE,,,,,177089.0,,,,,,,,,,,,,,,,,,,,,
8,42487.0,42487.0,,,,,,,,,1316360,,,,,,,,,,,2006-04-04,500.0,HTML,249.0,500.0,,,4379.0,4379.0,,,,,,,,,,249.0,,,,,,,,,,,IHS Inc.,,,,,,,,,,,,,,,,,,,,500.0,,,,,,
9,17185.0,15100.0,,,,,,,,,1005286,,,,,,,,,,,2006-04-04,1050.0,HTML,1949.0,1050.0,,,37438.0,40936.0,,,,,,,,1050.0,1050.0,1949.0,,,,,,,,,,,LANDEC CORP \CA\,,,,,2085.0,,,,,,,,,,,,,,,,,,,,,
0,7359.0,7359.0,,,,,,,,,39368,,,,,,,,,,,2006-04-07,45.0,HTML,112000.0,45.0,,,235719.0,499388.0,,,,,,,,45.0,45.0,112000.0,,,,,,,,,,,FULLER H B CO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,85312.0,,,,,,,,746.0,1127.0,1123360,,,,,,,,,,,2006-04-07,1314.0,HTML,235670.0,1314.0,,,166014.0,251573.0,15903.0,,,,,,,1314.0,,,,,,,,,,,,,GLOBAL PAYMENTS INC,,,,,,,,,,,,,,,,,,,,,,,,,,
2,63255.0,,,,,,,,,,723371,,,,,,,,,,,2006-04-07,24742.0,TEXT,123270.0,24742.0,,,25293.0,,,,,,,,,24742.0,24742.0,123270.0,,,,,,,,,,,HARTMARX CORP/DE,,,,,,,,,,,,,,,,,,,,,,,,,,
3,8362.0,4458.0,,,,3904.0,,,,,704415,,,,,,,,,,,2006-04-07,79.0,HTML,329.0,79.0,,,61746.0,,9799.0,,,,,,,79.0,79.0,329.0,,,,,,,,,,,"HEALTHWAYS, INC",,,,,,,,,,,,,,,,,,,,,,,,,,
4,5322.0,5322.0,,,,,,,,,935007,,,,,,,,,,,2006-04-07,,HTML,111000.0,5322.0,,,31457.0,150808.0,3702.0,,,,,,,,,111000.0,,,,,,,,,,,HORIZON HEALTH CORP /DE/,,,,,,,,,,,,,,,,,,,,,,,,,,
5,11356.0,11356.0,,,,,,,,,351012,,,,,,,,,,,2006-04-07,268.0,TEXT,58436.0,268.0,,,35689.0,,,,,,,,,268.0,268.0,58436.0,,,,,,,,,,,INTERMAGNETICS GENERAL CORP,,,,,,,,,,,,,,,,,,,,,,,,,,
6,197578.0,1532401.0,,,,,,,,,898293,,,,,,,,,,,2006-04-07,,HTML,2143465.0,197578.0,,,1770904.0,2143465.0,,,,,,,,,,,,,,,,,,,,,JABIL CIRCUIT INC,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3716928.0,2403542.0,,,,1313386.0,,,,,885307,,,,,,,,,,,2006-04-07,,HTML,7197680.0,3716928.0,,,5084564.0,7197680.0,,,,,,,,,,,,,,,,,,,,,JEWETT CAMERON TRADING CO LTD,,,,,,,,,,,,,,,,,,,,,,,,,,
8,51317.0,945232.0,,,,,,,,,795266,,,,,,,,,,,2006-04-07,,HTML,51905.0,51317.0,,,1457696.0,51905.0,,,,,,,,,,,,,,,,,,,,,KB HOME,,,,,,1406379.0,,,,,,,,,,,,,,,,,,,,
9,8.4,87.5,,,,,,,,,737874,,,,,,,,,,,2006-04-07,34.2,HTML,270.8,34.2,,,477.0,1300.0,77.1,,,,,,,34.2,34.2,270.8,,,,,,,,,,,LAIDLAW INTERNATIONAL INC,,,,,101.5,,,,,,,,,,,,,,,,,,,,,
0,1902.1,1430.0,,,,,,,,,835541,,,,,,,,,,,2006-04-05,228.5,HTML,628.0,228.5,,,2274.0,2981.0,79.6,,,,,,,,,628.0,,,,,,,,,,,SOLECTRON CORP,,,,,472.1,,,,,,,,,,,,,,,228.5,,,,,,
1,126750.0,81772.0,41332.0,,40440.0,44978.0,,,,,96879,,,,,,,,,,,2006-04-05,,HTML,153467.0,126750.0,,,254429.0,167685.0,14218.0,,,,,,,,,,,,,,,,,,,,TEKTRONIX INC,,,,,,4507.0,,,,,,,,,,,,,,,,,,,,
2,175002.0,91960.0,,,,83042.0,,,,,1750,,,,,,,,,,,2006-04-06,1610.0,HTML,296534.0,1410.0,,,177101.0,10383.0,,,,,,,,200.0,200.0,296534.0,,,,,,,,,,,AAR CORP,,,,,,,,,,,,,,,,,,,,1410.0,,,,,,
3,136408.0,,,,90812.0,,,,,,6955,,,,,,,,,,,2006-04-06,2663.0,HTML,425031.0,2532.0,,,187199.0,,18310.0,,,,,,,131.0,131.0,425031.0,,,,,,,,,,,ACTUANT CORP,,,,,45596.0,,,,,,,,,,,,,,,2532.0,,,,,,
4,2845.0,24857.0,,,,,,,,,10329,,,,,,,,,,,2006-04-06,,HTML,8823.0,2845.0,,,51194.0,46396.0,,,,,,,,,,8823.0,,,,,,,,,,,BASSETT FURNITURE INDUSTRIES INC,,,,,19432.0,,,,,,,,,,,,,,,,,,,,,
5,610249.0,413212.0,,,,,,,,,718916,,,,,,,,,,,2006-04-06,1353.0,HTML,31575.0,1353.0,,,635116.0,,,,,,,,31575.0,1353.0,101080.0,,,,,,,,,,,,BURLINGTON COAT FACTORY WAREHOUSE CORP,,,,,197037.0,,,,,,,,,,,,,,,,,,,,,
6,281236.0,12777.0,,,,,,,,,940944,,,,,,,,,,,2006-04-06,44000.0,TEXT,645125.0,44000.0,,,868642.0,1780514.0,,,,,,,,0.0,0.0,645125.0,,,,,,,,,,,DARDEN RESTAURANTS INC,,,,,268459.0,,,,,,,,,,,,,,,44000.0,,,,,,
7,170701.0,,,,,,,,,,1309402,,,,,,,,,,,2006-04-06,,TEXT,170701.0,170701.0,,,170701.0,170701.0,,,,,,,,,,,,,,,,,,,,,"GREEN PLAINS RENEWABLE ENERGY, INC.",,,,,,,,,,,,,,,,,,,,,,,,,,
8,16317.0,7407.0,,,,,,,,,736822,,,,,,,,,,,2006-04-06,1043.0,HTML,2081.0,1043.0,,,27550.0,43260.0,1686.0,,,,,,,1043.0,1043.0,2081.0,,,,,,,,,,,IMMUCOR INC,,,,,8910.0,,,,,,,,,,,,,,,,,,,,,
9,4126.0,,,,,,,,,,844143,,,,,,,,,,,2006-04-06,1703.0,HTML,,1703.0,,,7148.0,,,,,,,,,1703.0,1703.0,,,,,,,,,,,,INNOVO GROUP INC,,,,,,,,,,,,,,,,,,,,,,,,,,
0,30640.0,30640.0,,,,,,,,,866273,,,,,,,,,,,2006-04-06,42765.0,HTML,,42765.0,,,69389.0,,,,,,,,,42765.0,42765.0,,,,,,,,,,,,MATRIX SERVICE CO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,524203.0,,,,170068.0,,,,,,63754,,,,,,,,,,,2006-04-06,155901.0,HTML,467659.0,128368.0,,,680104.0,1417724.0,269961.0,,,,,,,27533.0,27533.0,467659.0,,,198558.0,198558.0,,,,,,,MCCORMICK & CO INC,,,,,354135.0,,,,,,,,,,,,,,,128368.0,,,,,,
2,58598.0,47696.0,,,,,,,,,921365,,,,,,,,,,,2006-04-06,10080.0,HTML,85517.0,10080.0,,,87233.0,173730.0,,,,,,,,10080.0,10080.0,85517.0,,,,,,,,,,,MERIX CORP,,,,,10902.0,,,,,,,,,,,,,,,,,,,,,
3,353.0,379.0,,,,1706.0,,,,,1110783,,,,,,,,,,,2006-04-06,566.0,HTML,1378.0,566.0,,,4.0,10.0,,,,,,,,,,1378.0,,,,,,,,,,,MONSANTO CO /NEW/,,,,,,,,,,,,,,,,,,,,566.0,,,,,,
4,1606.0,44943.0,,,,44644.0,,,,,1003078,,,,,,,,,,,2006-04-06,153.0,HTML,752.0,153.0,,,89740.0,117688.0,,,,,,,,153.0,153.0,752.0,,,,752.0,752.0,,,,,,MSC INDUSTRIAL DIRECT CO INC,,,,,,,,,,,,,,,,,,,,,,,,,,
5,53775.0,847.0,,,45060.0,7868.0,,,,,1273784,,,,,,,,,,,2006-04-06,790.0,HTML,325003.0,790.0,,,147750.0,477452.0,,,,,,,,790.0,790.0,325003.0,,,,,,,,,,,NATIONAL BEEF PACKING CO LLC,,,,,,16141.0,,,,,,,,,,,,,,,,,,,,
6,86.7,78.3,,,,,,,,,1090061,,,,,,,,,,,2006-04-06,1.0,HTML,192.2,1.0,,,11.7,,4.4,,,,,,,1.0,1.0,192.2,,,,,,,,,,,OMNOVA SOLUTIONS INC,,,,,8.4,,,,,,,,,,,,,,,,,,,,,
7,109521.0,,,,,,,,,,75288,,,,,,,,,,,2006-04-06,1495.0,HTML,289100.0,1495.0,,,29823.0,,28440.0,,,,,,,,,289100.0,,,,,,,,,,,OXFORD INDUSTRIES INC,,,,,,,,,,,,,,,,,,,,,,,,,,
8,13590000.0,,,,,,,,,,1084765,,,,,,,,,,,2006-04-06,,HTML,64782000.0,13590000.0,,,56691000.0,64782000.0,,,,,,,,,,,,,,,,,,,,,RESOURCES CONNECTION INC,,,,,,,,,,,,,,,,,,,,,,,,,,
9,14243000.0,8793000.0,,,,5450000.0,,,,,62262,,,,,,,,,,,2006-04-06,1241000.0,HTML,30603000.0,1241000.0,,,19198000.0,33095000.0,2492000.0,,,,,,,1241000.0,1241000.0,30603000.0,,,,,,,,,,,SUMMA INDUSTRIES/,,,,,,,,,,,,,,,,,,,,,,,,,,
0,45079.0,45079.0,,,,,,,,,1289237,,,,,,,,,,,2006-04-06,1820.0,HTML,329637.0,1820.0,,,152528.0,486864.0,,,,,,,,1820.0,1820.0,329637.0,,,,,,,,,,,"U. S. Premium Beef, LLC",,,,,,17303.0,,,,,,,,,,,,,,,,,,,,
1,112776.0,36673.0,,,,76103.0,,,,,717954,,,,,,,,,,,2006-04-06,,HTML,,112776.0,,,113388.0,,,,,,,,,,,,,,,,,,,,,,UNIFIRST CORP,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3270.0,,,,3270.0,,,,,,104207,,,,,,,,,,,2006-04-06,,HTML,171.0,3270.0,,,4969.0,1216.0,1045.0,,,,,,,,,,,,,,,,,,,,WALGREEN CO,,,,,,1506.0,,,,,,,,,,,,,,,,,,,,
3,46637.0,,,,46637.0,,,,,,771497,,,,,,,,,,,2006-04-07,,HTML,432618.0,46637.0,,,277805.0,432618.0,,,,,,,,,,,,,,,,,,,,,ABM INDUSTRIES INC /DE/,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,1040241,,,,,,,,,,,2006-04-07,,HTML,65162947.0,72400.0,,,72400.0,65162947.0,,,,,,,,,,,,,,,,,,,,,ACCESS CAPITAL STRATEGIES COMMUNITY INVESTMENT FUND INC/MA,,,,,,72400.0,,,,,,,,,,,,,,,,,,,,
