,ACCOUNTSPAYABLEANDACCRUEDLIABILITIESCURRENT,ACCOUNTSPAYABLECURRENT,ACCOUNTSPAYABLEOTHERCURRENT,ACCOUNTSPAYABLERELATEDPARTIESCURRENT,ACCOUNTSPAYABLETRADECURRENT,ACCRUEDLIABILITIESCURRENT,BANKOVERDRAFTS,BRIDGELOAN,CAPITALLEASEOBLIGATIONSCURRENT,CAPITALLEASEOBLIGATIONSNONCURRENT,CIK,COMMERCIALPAPER,COMMERCIALPAPERNONCURRENT,CONSTRUCTIONLOAN,CONSTRUCTIONLOANNONCURRENT,CONVERTIBLEDEBTCURRENT,CONVERTIBLEDEBTNONCURRENT,CONVERTIBLELONGTERMNOTESPAYABLE,CONVERTIBLENOTESPAYABLECURRENT,CONVERTIBLESUBORDINATEDDEBTCURRENT,CONVERTIBLESUBORDINATEDDEBTNONCURRENT,DATE,DEBTCURRENT,EXTRACTCODE,FINALLONGTERM,FINALSHORTTERM,JUNIORSUBORDINATEDLONGTERMNOTES,JUNIORSUBORDINATEDNOTESCURRENT,LIABILITIESCURRENT,LIABILITIESNONCURRENT,LIABILITIESOTHERTHANLONGTERMDEBTNONCURRENT,LINESOFCREDITCURRENT,LOANSPAYABLECURRENT,LOANSPAYABLETOBANKCURRENT,LONGTERMCOMMERCIALPAPERCURRENT,LONGTERMCONSTRUCTIONLOANCURRENT,LONGTERMDEBTANDCAPITALLEASEOBLIGATIONS,LONGTERMDEBTANDCAPITALLEASEOBLIGATIONSCURRENT,LONGTERMDEBTCURRENT,LONGTERMDEBTNONCURRENT,LONGTERMLINEOFCREDIT,LONGTERMLOANSFROMBANK,LONGTERMLOANSPAYABLE,LONGTERMNOTESANDLOANS,LONGTERMNOTESPAYABLE,LONGTERMPOLLUTIONCONTROLBOND,LONGTERMPOLLUTIONCONTROLBONDCURRENT,LONGTERMTRANSITIONBOND,LONGTERMTRANSITIONBONDCURRENT,MEDIUMTERMNOTESCURRENT,NAME,NOTESANDLOANSPAYABLECURRENT,NOTESPAYABLECURRENT,NOTESPAYABLETOBANKCURRENT,NOTESPAYABLETOBANKNONCURRENT,OTHERACCRUEDLIABILITIESCURRENT,OTHERLIABILITIESCURRENT,OTHERLOANSPAYABLECURRENT,OTHERLOANSPAYABLELONGTERM,OTHERLONGTERMDEBTCURRENT,OTHERLONGTERMDEBTNONCURRENT,OTHERLONGTERMNOTESPAYABLE,OTHERNOTESPAYABLECURRENT,OTHERSHORTTERMBORROWINGS,SECUREDDEBTCURRENT,SECUREDLONGTERMDEBT,SECURITIESSOLDUNDERAGREEMENTSTOREPURCHASE,SENIORLONGTERMNOTES,SENIORNOTESCURRENT,SHORTTERMBANKLOANSANDNOTESPAYABLE,SHORTTERMBORROWINGS,SHORTTERMNONBANKLOANSANDNOTESPAYABLE,SUBORDINATEDDEBTCURRENT,SUBORDINATEDLONGTERMDEBT,UNSECUREDDEBTCURRENT,UNSECUREDLONGTERMDEBT,WAREHOUSEAGREEMENTBORROWINGS
0,1513081.0,990439.0,,,,522642.0,,,,,704328,,,,,,,,,,,2007-04-03,,TEXT,,1513081.0,,,1513081.0,,,,,,,,,,,,,,,,,,,,,,SOMANETICS CORP,,,,,,,,,,,,,,,,,,,,,,,,,,
1,166041.0,,,,,,,,,0.0,98338,,,,,,,,,,,2007-04-03,,TEXT,,166041.0,,,4315444.0,,,,,,,,,,,0.0,,,,,,,,,,,TSR INC,,,,,2487498.0,,,,,,,,,,,,,,,,,,,,,
2,178785.0,91869.0,,,,86916.0,,,,,1750,,,,,,,,,,,2007-04-04,31430.0,HTML,252913.0,64.0,,,233009.0,,,,,,,,,31366.0,31366.0,252913.0,,,,,,,,,,,AAR CORP,,,,,,,,,,,,,,,,,,,,64.0,,,,,,
3,321681.0,216653.0,,,,,,,,,1144215,,,,,,,,,,,2007-04-04,655.0,HTML,371001.0,655.0,,,376311.0,,69509.0,,,,,,,655.0,655.0,371001.0,,,,,,,,,,,ACUITY BRANDS INC,,,,,105028.0,,,,,,,,,,,,,,,,,,,,,
4,42034.0,1016564.0,,,,530453.0,,,,,890491,,,,,,,,,,,2007-04-04,,HTML,34100.0,42034.0,,,1547017.0,,374035.0,,,,,,,,,34100.0,,,,,,,,,,,BARNES & NOBLE INC,,,,,,,,,,,,,,,,,,,,,,,,,,
5,7453.0,7453.0,,,,,,,,,32166,,,,,,,,,,,2007-04-04,,HTML,33815.0,7453.0,,,7453.0,33815.0,,,,,,,,,,,,,,,,,,,,,ELECTRO RENT CORP,,,,,,,,,,,,,,,,,,,,,,,,,,
6,15050.0,10770.0,,,,1349.0,,,,,1271285,,,,,,,,,,,2007-04-04,4262.0,HTML,89995.0,4262.0,,,36117.0,,,,,,,,,4262.0,4262.0,89995.0,,,,,,,,,,,GOLDEN OVAL EGGS LLC,,,,,2931.0,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,886982,,,,,,,,,,,2007-04-04,3.0,HTML,132732.0,3.0,,,3.0,875595.0,,,,,,,,,,132732.0,,,132732.0,132732.0,,,,,,,GOLDMAN SACHS GROUP INC/,,,,,,,,,,,,,,,,,,,,3.0,,,,,,
8,239212.0,,,,,,,,,,923120,,,,,,,,,,,2007-04-04,,HTML,2104.0,239212.0,,,239212.0,2104.0,,,,,,,,,,,,,,,,,,,,,GREENBRIER COMPANIES INC,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2110.9,800.9,,,,1310.0,,,,,320187,,,,,,,,,,,2007-04-04,30.6,TEXT,419.4,30.6,,,2312.0,,,,,,,,,30.6,30.6,419.4,,,,,,,,,,,NIKE INC,,,,,,,,,,,,,,,,,,,,,,,,,,
0,105800.0,,,,,,,,,,75288,,,,,,,,,,,2007-04-04,399.0,HTML,208550.0,399.0,,,5004.0,,36149.0,,,,,,,,,208550.0,,,,,,,,,,,OXFORD INDUSTRIES INC,,,,,30716.0,,,,,,,,,,,,,,,,,,,,,
1,64184.0,64184.0,,,,,,,,,84290,,,,,,,,,,,2007-04-04,6429.0,HTML,103282.0,6429.0,,,170810.0,,75030.0,,,,,,,6429.0,6429.0,103282.0,,,,,,,,,,,ROBBINS & MYERS INC,,,,,,,,,,,,,,,,,,,,,,,,,,
2,146512.0,90518.0,46517.0,,44001.0,55994.0,,,,,96879,,,,,,,,,,,2007-04-04,,HTML,96818.0,146512.0,,,300161.0,110043.0,13225.0,,,,,,,,,,,,,,,,,,,,TEKTRONIX INC,,,,,,7517.0,,,,,,,,,,,,,,,,,,,,
3,603.0,16440.0,,,,,,,,,10329,,,,,,,,,,,2007-04-05,,HTML,,603.0,,,49228.0,,,,,,,,,,,,,,,,,,,,,,BASSETT FURNITURE INDUSTRIES INC,,,,,19207.0,,,,,,,,,,,,,,,,,,,,,
4,208250.0,29477.0,,,,,,,,,879573,,,,,,,,,,,2007-04-05,,HTML,2122787.0,208250.0,,,14460.0,15294.0,,,,,,,,,,2122787.0,,,,,,,,,,,CENTENNIAL COMMUNICATIONS CORP /DE,,,,,178773.0,,,,,,,,,,,,,,,,,,,,,
5,304380.0,69540.0,,,,234840.0,,,,,723254,,,,,,,,,,,2007-04-05,229139.0,HTML,654376.0,229139.0,,,681096.0,,,,,,,,,229139.0,229139.0,654376.0,,,,,,,,,,,CINTAS CORP,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2482.5,935.5,,,,,,,,,23217,,,,,,,,,,,2007-04-05,30.2,HTML,3235.0,9.2,,,3104.0,7614.0,1074.0,,,,,,,21.0,21.0,3235.0,,,,,,,,,,,CONAGRA FOODS INC /DE/,,,,,1547.0,,,,,,,,,,,,,,,9.2,,,,,,
7,71310.0,,,,,,,,,,723371,,,,,,,,,,,2007-04-05,25050.0,TEXT,109275.0,25050.0,,,18987.0,,,,,,,,,25050.0,25050.0,109275.0,,,,,,,,,,,HARTMARX CORP/DE,,,,,,,,,,,,,,,,,,,,,,,,,,
8,20334.0,7317.0,,,,,,,,,736822,,,,,,,,,,,2007-04-05,578.0,HTML,47989.0,578.0,,,29940.0,50216.0,2227.0,,,,,,,578.0,578.0,,,,,,,,,,,,IMMUCOR INC,,,,,13017.0,,,,,,,,,,,,,,,,,,,,,
9,44307.0,44307.0,,,,,,,,,866273,,,,,,,,,,,2007-04-05,,HTML,,44307.0,,,94060.0,,,,,,,,,,,,,,,,,,,,,,MATRIX SERVICE CO,,,,,,,,,,,,,,,,,,,,,,,,,,
4,15758.0,,,,,22827.0,,,,,19520,,,,,,,,,,,2007-04-02,3000.0,HTML,559500.0,3000.0,,,43690.0,,1589.0,,,,,,,3000.0,3000.0,559500.0,,,,,,,,,,,CHATTEM INC,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5213.0,3130.0,,,,1884.0,,,,,351298,,,,,,,,,,,2007-04-02,973.0,HTML,2367.0,973.0,,,12487.0,17319.0,1635.0,,,,,,,973.0,973.0,2367.0,,,,,,,,,,,HEI INC,,,,,199.0,,,,,,,,,,,,,,,,,,,,,
6,2622.0,,,,,,,,,,917968,,,,,,,,,,,2007-04-02,,HTML,26469.0,2622.0,,,21519.0,26469.0,,,,,,,,,,,,,,,,,,,,,PEETS COFFEE & TEA INC,,,,,,3071.0,,,,,,,,,,,,,,,,,,,,
7,28.1,121.2,,,,,,,,5.7,866729,,,,,,,,,,,2007-04-02,34.7,HTML,311.4,34.7,,,409.4,453.8,82.1,,,,,,,34.7,34.7,311.4,,,,,,,,,,,SCHOLASTIC CORP,,,,,,,,,,,,,,,,,,,,,,,,,,
8,363.0,7362.0,,,,4190.0,,,,,92769,,,,,,,,,,,2007-04-02,8295.0,HTML,1067.0,8000.0,,,20114.0,,,,,,,,,295.0,295.0,1067.0,,,,,,,,,,,SPECTRUM CONTROL INC,,,,,,,,,,,,,,,,,,,,8000.0,,,,,,
9,37482.0,17772.0,,,,,,,,,62234,,,,,,,,,,,2007-04-03,53860.0,HTML,147846.0,53860.0,,,820.0,,1914.0,,,,,,,53860.0,53860.0,147846.0,,,,,,,,,,,MARCUS CORP,,,,,19710.0,,,,,,,,,,,,,,,,,,,,,
0,62327.0,52503.0,,,,,,,911.0,,921365,,,,,,,,,,,2007-04-05,3700.0,HTML,75503.0,3700.0,,,76097.0,152762.0,1162.0,,,,,,,3700.0,2789.0,75503.0,,,,,,,,,,,MERIX CORP,,,,,9824.0,,,,,,,,,,,,,,,,,,,,,
1,4623.0,67768.0,,,,57249.0,,,,,1003078,,,,,,,,,,,2007-04-05,23220.0,HTML,177531.0,23220.0,,,178237.0,387187.0,,,,,,,,23220.0,23220.0,177531.0,,,,177531.0,177531.0,,,,,,MSC INDUSTRIAL DIRECT CO INC,,,,,,,,,,,,,,,,,,,,,,,,,,
2,61467.0,2444.0,,,59023.0,,,,,,1273784,,,,,,,,,,,2007-04-05,2370.0,HTML,438859.0,2370.0,,,158550.0,600254.0,,,,,,,,2370.0,2370.0,438859.0,,,,,,,,,,,NATIONAL BEEF PACKING CO LLC,,,,,,9078.0,,,,,,,,,,,,,,,,,,,,
3,123.5,63.7,,,,,,,,,70530,,,,,,,,,,,2007-04-05,,HTML,20.6,123.5,,,292.4,486.5,173.5,,,,,,,,,20.6,,,,,,,,,,,NATIONAL SEMICONDUCTOR CORP,,,,,,,,,,,,,,,,,,,,,,,,,,
