,ACCOUNTSPAYABLEANDACCRUEDLIABILITIESCURRENT,ACCOUNTSPAYABLECURRENT,ACCOUNTSPAYABLEOTHERCURRENT,ACCOUNTSPAYABLERELATEDPARTIESCURRENT,ACCOUNTSPAYABLETRADECURRENT,ACCRUEDLIABILITIESCURRENT,BANKOVERDRAFTS,BRIDGELOAN,CAPITALLEASEOBLIGATIONSCURRENT,CAPITALLEASEOBLIGATIONSNONCURRENT,CIK,COMMERCIALPAPER,COMMERCIALPAPERNONCURRENT,CONSTRUCTIONLOAN,CONSTRUCTIONLOANNONCURRENT,CONVERTIBLEDEBTCURRENT,CONVERTIBLEDEBTNONCURRENT,CONVERTIBLELONGTERMNOTESPAYABLE,CONVERTIBLENOTESPAYABLECURRENT,CONVERTIBLESUBORDINATEDDEBTCURRENT,CONVERTIBLESUBORDINATEDDEBTNONCURRENT,DATE,DEBTCURRENT,EXTRACTCODE,FINALLONGTERM,FINALSHORTTERM,JUNIORSUBORDINATEDLONGTERMNOTES,JUNIORSUBORDINATEDNOTESCURRENT,LIABILITIESCURRENT,LIABILITIESNONCURRENT,LIABILITIESOTHERTHANLONGTERMDEBTNONCURRENT,LINESOFCREDITCURRENT,LOANSPAYABLECURRENT,LOANSPAYABLETOBANKCURRENT,LONGTERMCOMMERCIALPAPERCURRENT,LONGTERMCONSTRUCTIONLOANCURRENT,LONGTERMDEBTANDCAPITALLEASEOBLIGATIONS,LONGTERMDEBTANDCAPITALLEASEOBLIGATIONSCURRENT,LONGTERMDEBTCURRENT,LONGTERMDEBTNONCURRENT,LONGTERMLINEOFCREDIT,LONGTERMLOANSFROMBANK,LONGTERMLOANSPAYABLE,LONGTERMNOTESANDLOANS,LONGTERMNOTESPAYABLE,LONGTERMPOLLUTIONCONTROLBOND,LONGTERMPOLLUTIONCONTROLBONDCURRENT,LONGTERMTRANSITIONBOND,LONGTERMTRANSITIONBONDCURRENT,MEDIUMTERMNOTESCURRENT,NAME,NOTESANDLOANSPAYABLECURRENT,NOTESPAYABLECURRENT,NOTESPAYABLETOBANKCURRENT,NOTESPAYABLETOBANKNONCURRENT,OTHERACCRUEDLIABILITIESCURRENT,OTHERLIABILITIESCURRENT,OTHERLOANSPAYABLECURRENT,OTHERLOANSPAYABLELONGTERM,OTHERLONGTERMDEBTCURRENT,OTHERLONGTERMDEBTNONCURRENT,OTHERLONGTERMNOTESPAYABLE,OTHERNOTESPAYABLECURRENT,OTHERSHORTTERMBORROWINGS,SECUREDDEBTCURRENT,SECUREDLONGTERMDEBT,SECURITIESSOLDUNDERAGREEMENTSTOREPURCHASE,SENIORLONGTERMNOTES,SENIORNOTESCURRENT,SHORTTERMBANKLOANSANDNOTESPAYABLE,SHORTTERMBORROWINGS,SHORTTERMNONBANKLOANSANDNOTESPAYABLE,SUBORDINATEDDEBTCURRENT,SUBORDINATEDLONGTERMDEBT,UNSECUREDDEBTCURRENT,UNSECUREDLONGTERMDEBT,WAREHOUSEAGREEMENTBORROWINGS
1,92.0,128.0,,,,,,,,,716688,,,,,,,,,,,2005-02-09,,TEXT,473.0,92.0,,,473.0,473.0,,,,,,,,,,,,,,,,,,,,,MICROWAVE FILTER CO INC /NY/,,,,,23.0,,,,,,,,,,,,,,,,,,,,,
8,56367.0,788480.0,,,,,,,,,795266,,,,,,,,,,,2005-10-07,,HTML,,56367.0,,,1003344.0,,,,,,,,,,,,,,,,,,,,,,KB HOME,,,,,,946977.0,,,,,,,,,,,,,,,,,,,,
3,6803257.0,,,,,,,,,,6342,,,,,,,,,,,2005-05-13,,HTML,29358716.0,6803257.0,,,6803257.0,29358716.0,,,,,,,,,,,,,,,,,,,,,AIG SUNAMERICA LIFE ASSURANCE CO,,,,,,,,,,,,,,,,,,,,,,,,,,
7,10118253.0,,,,,,,,,,1000209,,,,,,,,,,,2005-05-10,,HTML,567586463.0,10118253.0,,,10118253.0,567586463.0,,,,,,,,,,,,,,,,,,,,,MEDALLION FINANCIAL CORP,,,,,,,,,,,,,,,,,,,,,,,,,,
8,10937179.0,,,,,,,,,,1000209,,,,,,,,,,,2005-08-09,,HTML,595029811.0,10937179.0,,,10937179.0,595029811.0,,,,,,,,,,,,,,,,,,,,,MEDALLION FINANCIAL CORP,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9148094.0,,,,,,,,,,1000209,,,,,,,,,,,2005-11-09,,HTML,615029625.0,9148094.0,,,9148094.0,615029625.0,,,,,,,,,,,,,,,,,,,,,MEDALLION FINANCIAL CORP,,,,,,,,,,,,,,,,,,,,,,,,,,
9,5595.0,,,,,,,,,,913957,,,,,,,,,,,2005-11-14,,HTML,125236.0,5595.0,,,5595.0,125236.0,,,,,,,,,,,,,,,,,,,,,AMREIT,,,,,,,,,,,,,,,,,,,,,,,,,,
0,742.1,,,,,,,,,,908255,,,,,,,,,,,2005-07-29,185.4,HTML,643.6,185.4,,,977.2,1972.0,282.8,,,,,,,185.4,185.4,643.6,,,,,,,,,,,BORGWARNER INC,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,1141299,,,,,,,,,,,2005-05-05,,HTML,483786.0,,,,,483786.0,,,,,,,,,,,,,,,,,,,,,MCG CAPITAL CORP,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,1141299,,,,,,,,,,,2005-08-04,,HTML,493656.0,,,,,493656.0,,,,,,,,,,,,,,,,,,,,,MCG CAPITAL CORP,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,1141299,,,,,,,,,,,2005-11-04,,HTML,467075.0,,,,,467075.0,,,,,,,,,,,,,,,,,,,,,MCG CAPITAL CORP,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8470.0,14752.0,,,,29445.0,,,,,1101302,,,,,,,,,,,2005-01-06,9897.0,HTML,19630.0,8384.0,,,58943.0,,,,,,,,,1513.0,1513.0,19630.0,,,,,,,,,,,ENTEGRIS INC,,,,,,,,,,,,,,,,,,,,8384.0,,,,,,
1,695316.0,,,,,,,,,,34408,,,,,,,,,,,2005-01-06,,HTML,,695316.0,,,724455.0,,,,,,,,,,,,,,,,,,,,,,FAMILY DOLLAR STORES INC,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7115.0,,,,7115.0,,,,,,841692,,,,,,,,,,,2005-01-06,,HTML,-3604.0,7115.0,,,25800.0,750.0,4354.0,,,,,,,,,,,,,,,,,,,,FSI INTERNATIONAL INC,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1989.0,1132.0,,,,,,,,,40704,,,,,,,,,,,2005-01-06,221.0,HTML,7429.0,221.0,,,2355.0,12531.0,,,,,,,,221.0,221.0,7429.0,,,,,,,,,,,GENERAL MILLS INC,,,,,857.0,,,,,,,,,,,,,,,,,,,,,
4,37728.0,37728.0,,,,,,,,,866273,,,,,,,,,,,2005-01-06,24773.0,HTML,28232.0,24773.0,,,91032.0,,,,,,,,,24773.0,24773.0,28232.0,,,,,,,,,,,MATRIX SERVICE CO,,,,,,,,,,,,,,,,,,,,,,,,,,
5,18504.0,16265.0,,,,,,,,,921365,,,,,,,,,,,2005-01-06,,HTML,25000.0,18504.0,,,23207.0,48876.0,,,,,,,,,,25000.0,,,,,,,,,,,MERIX CORP,,,,,2239.0,,,,,,,,,,,,,,,,,,,,,
6,9514.0,42265.0,,,,52120.0,,,,,1003078,,,,,,,,,,,2005-01-06,142.0,HTML,949.0,142.0,,,94527.0,120228.0,,,,,,,,142.0,142.0,949.0,,,,949.0,949.0,,,,,,MSC INDUSTRIAL DIRECT CO INC,,,,,,,,,,,,,,,,,,,,,,,,,,
7,106.2,83.3,,,,,,,,,70530,,,,,,,,,,,2005-01-06,0.0,TEXT,22.1,0.0,,,309.2,472.1,140.8,,,,,,,0.0,0.0,22.1,,,,,,,,,,,NATIONAL SEMICONDUCTOR CORP,,,,,,,,,,,,,,,,,,,,,,,,,,
8,34274.0,11354.0,,,,22920.0,,,,,76267,,,,,,,,,,,2005-01-06,,TEXT,84059.0,34274.0,,,61642.0,84059.0,,,,,,,,,,,,,,,,,,,,,PARK ELECTROCHEMICAL CORP,,,,,,,,,,,,,,,,,,,,,,,,,,
9,205735.0,102241.0,,,,,,,,,278130,,,,,,,,,,,2005-01-06,6000.0,HTML,19000.0,6000.0,,,269246.0,,75475.0,,,,,,,6000.0,6000.0,19000.0,,,,,,,,,,,PIER 1 IMPORTS INC/DE,,,,,103494.0,,,,,,,,,,,,,,,,,,,,,
0,16546.0,16546.0,,,,,,,,,16099,,,,,,,,,,,2005-01-03,,HTML,99111.0,16546.0,,,41752.0,99111.0,,,,,,,,,,,,,,,,,,,,,LUBYS INC,,,,,,25206.0,,,,,,,,,,,,,,,,,,,,
1,3999.0,42092.0,,,,,,,,,6845,,,,,,,,,,,2005-01-04,158.0,HTML,35000.0,158.0,,,60939.0,8816.0,11326.0,,,,,,,158.0,158.0,35000.0,,,,,,,,,,,APOGEE ENTERPRISES INC,,,,,2584.0,,,,,,,,,,,,,,,,,,,,,
2,784322.0,518817.0,,,,,,,,,886158,,,,,,,,,,,2005-01-04,,HTML,999779.0,784322.0,,,885023.0,999779.0,,,,,,,,,,,,,,,,,,,,,BED BATH & BEYOND INC,,,,,265505.0,,,,,,,,,,,,,,,,,,,,,
3,79460.0,79460.0,,,,,,,,,886137,,,,,,,,,,,2005-01-04,,HTML,,79460.0,,,112422.0,,,,,,,,,,,,,,,,,,,,,,FINISH LINE INC /IN/,,,,,,,,,,,,,,,,,,,,,,,,,,
4,20826.0,9380.0,,,,,,,,,62234,,,,,,,,,,,2005-01-04,24549.0,HTML,182415.0,24549.0,,,127258.0,,,,,,,,,24549.0,24549.0,182415.0,,,,,,,,,,,MARCUS CORP,,,,,11446.0,,,,,,,,,,,,,,,,,,,,,
5,339908.0,184548.0,,,,,,,,,1100389,,,,,,,,,,,2005-01-04,,HTML,,339908.0,,,367773.0,,1300.0,,,,,,,,,,,,,,,,,,,,PALMONE INC,,,,,155360.0,,,,,,,,,,,,,,,,,,,,,
6,139566.0,,,,,,,,,0.0,98338,,,,,,,,,,,2005-01-04,,TEXT,,139566.0,,,3800624.0,,,,,,,,,,,0.0,,,,,,,,,,,TSR INC,,,,,1982435.0,,,,,,,,,,,,,,,,,,,,,
7,297828.0,75078.0,,,,222750.0,,,,,738076,,,,,,,,,,,2005-01-05,,HTML,,297828.0,,,91203.0,,,,,,,,,,,,,,,,,,,,,,3COM CORP,,,,,,,,,,,,,,,,,,,,,,,,,,
8,125715.0,59621.0,,,,66094.0,,,,,1750,,,,,,,,,,,2005-01-05,3278.0,HTML,207219.0,1372.0,,,160659.0,,,,,,,,,1906.0,1906.0,207219.0,,,,,,,,,,,AAR CORP,,,,,,,,,,,,,,,,,,,,1372.0,,,,,,
9,8695.0,8695.0,,,,,,,,,857323,,,,,,,,,,,2005-01-05,4682.0,TEXT,754888.0,483.0,,,296813.0,,,,,,,,,4199.0,4199.0,754888.0,,,,,,,,,,,GTECH HOLDINGS CORP,,,,,,,,,,,,,,,,,,,,483.0,,,,,,
0,17057.0,17057.0,,,,,,,,,351012,,,,,,,,,,,2005-01-07,8244.0,TEXT,80205.0,8244.0,,,53431.0,,,,,,,,,8244.0,8244.0,80205.0,,,,,,,,,,,INTERMAGNETICS GENERAL CORP,,,,,,,,,,,,,,,,,,,,,,,,,,
1,135617.0,1213068.0,,,,,,,,,898293,,,,,,,,,,,2005-01-07,,HTML,1826987.0,135617.0,,,1480223.0,1826987.0,,,,,,,,,,,,,,,,,,,,,JABIL CIRCUIT INC,,,,,,,,,,,,,,,,,,,,,,,,,,
2,19314.0,16466.0,,,,,,,,,1005286,,,,,,,,,,,2005-01-07,280.0,HTML,2806.0,280.0,,,30338.0,,,,,,,,,280.0,280.0,2806.0,,,,,,,,,,,LANDEC CORP \CA\,,,,,2848.0,,,,,,,,,,,,,,,,,,,,,
3,32678.0,11692.0,,,,8141.0,,,,,1141517,,,,,,,,,,,2005-01-07,2155.0,HTML,990.0,2155.0,,,121468.0,124777.0,3309.0,,,,,,,2155.0,2155.0,990.0,,,,,,,,,,,LAWSON SOFTWARE INC,,,,,12845.0,,,,,,,,,,,,,,,,,,,,,
4,14717.0,14717.0,,,,,,,,,817946,,,,,,,,,,,2005-01-07,,HTML,12668.0,14717.0,,,59617.0,15325.0,2657.0,,,,,,,,,,,,,,,,,,,,MAYORS JEWELERS INC/DE,,,,,,2657.0,,,,,,,,,,,,,,,,,,,,
