,DATE,CIK,ELEMENTYPE,TEXT
0,1997-04-09,1011152,TEXT,
1,1997-04-09,38868,TEXT,
2,1997-04-09,922200,TEXT,
3,1997-04-09,40888,TEXT,
4,1997-04-09,778709,TEXT,
5,1997-04-09,351012,TEXT,
6,1997-04-09,875174,TEXT,
7,1997-04-09,813742,TEXT,
8,1997-04-09,70530,TEXT,
9,1997-04-09,876167,TEXT,
0,1997-04-14,350001,BAD_URL,
1,1997-04-14,350001,BAD_URL,
2,1997-04-14,849486,BAD_URL,
3,1997-04-14,849486,BAD_URL,
4,1997-04-11,1002546,TEXT,
5,1997-04-11,5719,TEXT,
6,1997-04-11,6955,TEXT,
7,1997-04-11,911634,TEXT,
8,1997-04-11,9092,TEXT,
9,1997-04-11,814904,TEXT,
0,1997-04-02,886206,TEXT,
1,1997-04-02,917126,TEXT,
2,1997-04-02,89902,TEXT,
3,1997-04-02,803497,TEXT,
4,1997-04-02,313299,TEXT,
5,1997-04-02,350067,TEXT,
6,1997-04-02,824430,TEXT,
7,1997-04-03,1002822,TEXT,
8,1997-04-03,40704,TEXT,
9,1997-04-03,1003292,TEXT,
0,1997-04-03,824430,TEXT,
1,1997-04-03,824430,TEXT,
2,1997-04-03,824430,TEXT,
3,1997-04-03,824430,TEXT,
4,1997-04-03,824430,TEXT,
5,1997-04-03,824430,TEXT,
6,1997-04-03,824430,TEXT,
7,1997-04-03,824430,TEXT,
8,1997-04-03,824430,TEXT,
9,1997-04-03,824430,TEXT,
2,1997-04-01,866787,TEXT,
3,1997-04-01,887531,FAILED,
4,1997-04-01,36840,TEXT,
5,1997-04-01,874385,TEXT,
6,1997-04-01,352912,TEXT,
7,1997-04-02,733337,TEXT,
8,1997-04-02,909832,TEXT,
9,1997-04-02,32166,TEXT,
0,1997-04-10,22444,TEXT,
1,1997-04-10,23249,TEXT,
2,1997-04-10,796122,TEXT,
3,1997-04-10,24071,TEXT,
4,1997-04-10,91817,TEXT,
5,1997-04-10,835015,TEXT,
6,1997-04-10,777676,TEXT,
7,1997-04-10,90721,TEXT,
8,1997-04-11,1750,TEXT,
9,1997-04-14,350001,BAD_URL,
0,1997-04-11,918022,TEXT,
1,1997-04-11,47268,TEXT,
2,1997-04-11,51207,TEXT,
3,1997-04-11,795266,TEXT,
4,1997-04-11,829281,TEXT,
5,1997-04-11,742454,TEXT,
6,1997-04-11,16099,TEXT,
7,1997-04-11,354604,TEXT,
8,1997-04-11,63754,TEXT,
9,1997-04-11,68330,TEXT,
0,1997-04-09,866729,TEXT,
1,1997-04-09,97472,TEXT,
2,1997-04-10,4828,TEXT,
3,1997-04-10,879573,TEXT,
4,1997-04-10,833226,TEXT,
5,1997-04-10,844161,TEXT,
6,1997-04-10,791269,TEXT,
7,1997-04-10,20164,TEXT,
8,1997-04-10,723254,TEXT,
9,1997-04-10,823975,TEXT,
0,1997-04-11,788330,TEXT,
1,1997-04-11,16160,TEXT,
2,1997-04-11,17482,TEXT,
3,1997-04-11,17482,TEXT,
4,1997-04-11,785080,TEXT,
5,1997-04-11,830524,TEXT,
6,1997-04-11,22872,TEXT,
7,1997-04-11,798044,TEXT,
8,1997-04-11,726514,TEXT,
9,1997-04-11,920757,FAILED,
0,1997-04-08,708484,TEXT,
1,1997-04-08,23217,TEXT,
2,1997-04-08,701719,TEXT,
3,1997-04-08,34408,TEXT,
4,1997-04-08,1012569,TEXT,
5,1997-04-08,787690,TEXT,
6,1997-04-08,704366,TEXT,
7,1997-04-08,902793,TEXT,
8,1997-04-08,736893,TEXT,
9,1997-04-09,922812,TEXT,
0,1997-04-11,788983,TEXT,
1,1997-04-11,84290,TEXT,
2,1997-04-11,922612,TEXT,
3,1997-04-11,89615,TEXT,
4,1997-04-11,731727,TEXT,
5,1997-04-11,94887,TEXT,
6,1997-04-11,808851,TEXT,
7,1997-04-11,96116,TEXT,
8,1997-04-11,877645,TEXT,
9,1997-04-11,110740,TEXT,
0,1997-04-14,823553,TEXT,
1,1997-04-14,822367,TEXT,
2,1997-04-14,875159,TEXT,
3,1997-04-14,313395,TEXT,
4,1997-04-14,34136,TEXT,
5,1997-04-14,1013237,TEXT,
6,1997-04-14,34616,TEXT,
7,1997-04-14,841692,TEXT,
8,1997-04-14,39368,TEXT,
9,1997-04-14,42582,TEXT,
0,1997-04-11,33488,TEXT,
1,1997-04-11,46189,TEXT,
2,1997-04-11,722826,TEXT,
3,1997-04-11,230211,TEXT,
4,1997-04-11,890662,TEXT,
5,1997-04-11,42228,TEXT,
6,1997-04-11,923120,TEXT,
7,1997-04-11,44041,TEXT,
8,1997-04-11,818968,TEXT,
9,1997-04-11,823277,TEXT,
0,1997-04-11,948218,TEXT,
1,1997-04-11,772263,TEXT,
2,1997-04-11,920947,TEXT,
3,1997-04-11,818010,TEXT,
4,1997-04-11,867490,TEXT,
5,1997-04-11,75288,TEXT,
6,1997-04-11,855352,TEXT,
7,1997-04-11,77281,TEXT,
8,1997-04-11,739608,TEXT,
9,1997-04-11,78716,TEXT,
0,1997-04-03,921915,TEXT,
1,1997-04-03,824430,TEXT,
2,1997-04-03,824430,TEXT,
3,1997-04-03,824430,TEXT,
4,1997-04-03,824430,TEXT,
5,1997-04-03,824430,TEXT,
6,1997-04-03,824430,TEXT,
7,1997-04-03,824430,TEXT,
8,1997-04-03,824430,TEXT,
9,1997-04-03,824430,TEXT,
0,1997-04-14,350001,BAD_URL,
1,1997-04-14,350001,BAD_URL,
2,1997-04-14,849486,BAD_URL,
3,1997-04-14,849486,BAD_URL,
4,1997-04-14,804742,TEXT,
5,1997-04-14,27425,TEXT,
6,1997-04-14,4811,TEXT,
7,1997-04-14,704415,TEXT,
8,1997-04-14,769330,TEXT,
9,1997-04-14,790730,TEXT,
0,1997-04-04,104897,TEXT,
1,1997-04-07,27500,TEXT,
2,1997-04-07,744106,TEXT,
3,1997-04-04,1002822,TEXT,
4,1997-04-07,277952,TEXT,
5,1997-04-07,778701,TEXT,
6,1997-04-07,778701,TEXT,
7,1997-04-07,778701,TEXT,
8,1997-04-07,740103,TEXT,
9,1997-04-07,312907,TEXT,
0,1997-04-14,96879,TEXT,
1,1997-04-14,70318,TEXT,
2,1997-04-14,61442,TEXT,
3,1997-04-14,22764,TEXT,
4,1997-04-14,947219,TEXT,
5,1997-04-14,725398,TEXT,
6,1997-04-14,821538,TEXT,
7,1997-04-14,102710,TEXT,
8,1997-04-14,839087,TEXT,
9,1997-04-14,949956,TEXT,
0,1997-04-14,886046,TEXT,
1,1997-04-14,868453,FAILED,
2,1997-04-14,807707,TEXT,
3,1997-04-14,314404,FAILED,
4,1997-04-14,10329,TEXT,
5,1997-04-14,12180,TEXT,
6,1997-04-14,812490,TEXT,
8,1997-04-14,815097,TEXT,
9,1997-04-14,913590,TEXT,
0,1997-04-14,898293,TEXT,
1,1997-04-14,806817,TEXT,
2,1997-04-14,723888,TEXT,
3,1997-04-14,756764,TEXT,
4,1997-04-14,56252,TEXT,
5,1997-04-14,793937,TEXT,
6,1997-04-14,806085,TEXT,
7,1997-04-14,728586,TEXT,
8,1997-04-14,58696,TEXT,
9,1997-04-14,59479,TEXT,
0,1997-04-14,700913,TEXT,
1,1997-04-14,779339,TEXT,
2,1997-04-14,76321,TEXT,
3,1997-04-14,76744,TEXT,
4,1997-04-14,77326,TEXT,
5,1997-04-14,869004,FAILED,
6,1997-04-14,937598,TEXT,
7,1997-04-14,813765,TEXT,
8,1997-04-14,883558,TEXT,
9,1997-04-14,859917,TEXT,
0,1997-04-14,875523,TEXT,
1,1997-04-14,876625,TEXT,
2,1997-04-14,62765,TEXT,
3,1997-04-14,866273,TEXT,
4,1997-04-14,713138,TEXT,
5,1997-04-14,1006361,TEXT,
6,1997-04-14,736035,TEXT,
7,1997-04-14,1023334,TEXT,
8,1997-04-14,808219,TEXT,
9,1997-04-14,921365,TEXT,
0,1997-04-14,745469,TEXT,
1,1997-02-27,320303,TEXT,
2,1997-04-14,318251,TEXT,
3,1997-04-14,704874,TEXT,
4,1997-04-14,1011775,TEXT,
5,1997-04-14,789625,TEXT,
6,1997-04-14,906469,TEXT,
7,1997-04-14,70033,TEXT,
8,1997-04-14,70502,TEXT,
9,1997-04-14,70538,TEXT,
0,1997-04-15,357245,TEXT,
1,1997-04-15,1016872,TEXT,
2,1997-04-15,740693,TEXT,
3,1997-04-15,894568,TEXT,
4,1997-04-15,1024752,TEXT,
5,1997-04-15,98559,TEXT,
6,1997-04-15,717954,TEXT,
7,1997-04-15,945837,TEXT,
8,1997-04-15,877273,TEXT,
9,1997-04-15,105132,TEXT,
0,1997-04-14,1000297,TEXT,
1,1997-04-14,901620,TEXT,
2,1997-04-14,355948,TEXT,
3,1997-04-14,783728,TEXT,
4,1997-04-14,110621,TEXT,
5,1997-04-14,912603,TEXT,
6,1997-04-14,87565,TEXT,
7,1997-04-14,748015,TEXT,
8,1997-04-14,88296,TEXT,
9,1997-04-14,914024,TEXT,
0,1997-04-17,225463,TEXT,
1,1997-04-17,56806,TEXT,
2,1997-04-17,932089,TEXT,
3,1997-04-17,1018349,TEXT,
4,1997-04-17,98788,TEXT,
5,1997-04-17,101788,TEXT,
6,1997-04-17,913570,TEXT,
7,1997-04-17,878828,TEXT,
8,1997-04-18,750339,TEXT,
9,1997-04-18,19252,TEXT,
0,1997-04-14,19520,TEXT,
1,1997-04-14,1018146,TEXT,
2,1997-04-14,20740,TEXT,
3,1997-04-14,759852,TEXT,
4,1997-04-14,201511,TEXT,
5,1997-04-14,356037,TEXT,
6,1997-04-14,1022693,TEXT,
7,1997-04-14,902277,TEXT,
8,1997-04-14,31348,TEXT,
9,1997-04-14,32120,TEXT,
0,1997-04-03,824430,TEXT,
1,1997-04-03,824430,TEXT,
2,1997-04-03,824430,TEXT,
3,1997-04-03,824430,TEXT,
4,1997-04-04,351346,TEXT,
5,1997-04-04,804188,TEXT,
6,1997-04-04,1002822,TEXT,
7,1997-04-04,202375,TEXT,
8,1997-04-04,90896,TEXT,
9,1997-04-04,354260,TEXT,
0,1997-04-14,23593,FAILED,
1,1997-04-14,875044,TEXT,
2,1997-04-14,879970,TEXT,
3,1997-04-14,850882,TEXT,
4,1997-04-14,105076,TEXT,
5,1997-04-14,107687,TEXT,
6,1997-04-14,108018,TEXT,
7,1997-04-14,108516,TEXT,
8,1997-04-15,723639,TEXT,
9,1997-04-15,277666,TEXT,
0,1997-04-14,914720,TEXT,
1,1997-04-14,914022,TEXT,
2,1997-04-14,875043,TEXT,
3,1997-04-14,806151,TEXT,
4,1997-04-14,711389,TEXT,
5,1997-04-14,761310,TEXT,
6,1997-04-14,706120,TEXT,
7,1997-04-14,706003,TEXT,
8,1997-04-14,818017,TEXT,
9,1997-04-14,51548,TEXT,
0,1997-04-11,98338,TEXT,
1,1997-04-11,104207,TEXT,
2,1997-04-11,837173,TEXT,
3,1997-04-11,108703,TEXT,
4,1997-04-14,804888,TEXT,
5,1997-04-14,796343,TEXT,
6,1997-04-14,916792,TEXT,
7,1997-04-14,811210,TEXT,
8,1997-04-14,3545,TEXT,
9,1997-04-14,350001,BAD_URL,
0,1997-04-22,38195,TEXT,
1,1997-04-22,39047,TEXT,
2,1997-04-15,1029294,TEXT,
3,1997-04-15,934798,TEXT,
4,1997-04-22,49728,TEXT,
5,1997-04-15,934799,TEXT,
6,1997-04-22,811596,TEXT,
7,1997-04-21,832812,TEXT,
8,1997-04-22,911934,TEXT,
