,DATE,CIK,ELEMENTYPE,TEXT
0,2000-04-05,1031911,TEXT,
1,2000-04-05,911634,TEXT,
2,2000-04-05,34408,TEXT,
3,2000-04-05,818968,TEXT,
4,2000-04-05,832812,TEXT,
5,2000-04-05,75288,TEXT,
6,2000-04-06,708484,TEXT,
7,2000-04-06,71528,TEXT,
8,2000-04-06,71528,TEXT,
9,2000-04-06,71528,TEXT,
0,2000-04-12,1059567,TEXT,
1,2000-04-12,27500,TEXT,
2,2000-04-12,1072342,HTML,
3,2000-04-12,1059568,TEXT,
4,2000-04-12,1059570,TEXT,
5,2000-04-12,1059364,TEXT,
6,2000-04-12,30927,TEXT,
7,2000-04-12,1059572,TEXT,
8,2000-04-12,1059576,TEXT,
9,2000-04-12,37525,TEXT,
0,2000-04-07,887149,TEXT,
1,2000-04-07,1048729,TEXT,
2,2000-04-07,33488,TEXT,
3,2000-04-07,886982,HTML,
4,2000-04-07,944853,TEXT,
5,2000-04-07,16099,TEXT,
6,2000-04-07,62234,TEXT,
7,2000-04-07,905036,TEXT,
8,2000-04-07,107687,TEXT,
9,2000-04-10,1091326,TEXT,
0,2000-04-10,723125,TEXT,
1,2000-04-10,772263,TEXT,
2,2000-04-10,1100389,TEXT,
3,2000-04-10,76744,TEXT,
4,2000-04-10,79225,TEXT,
5,2000-04-10,88296,TEXT,
6,2000-04-10,89615,TEXT,
7,2000-04-10,835541,TEXT,
8,2000-04-10,98338,TEXT,
9,2000-04-11,27425,TEXT,
0,2000-04-12,723371,TEXT,
1,2000-04-12,1059573,TEXT,
2,2000-04-12,49146,TEXT,
3,2000-04-12,351012,TEXT,
4,2000-04-12,916758,TEXT,
5,2000-04-12,1060356,HTML,
6,2000-04-12,1059575,TEXT,
7,2000-04-12,1090061,TEXT,
8,2000-04-12,790023,TEXT,
9,2000-04-11,1041803,TEXT,
0,2000-04-11,921365,HTML,
1,2000-04-11,838803,TEXT,
2,2000-04-11,1003078,TEXT,
3,2000-04-11,70530,TEXT,
4,2000-04-11,892058,TEXT,
5,2000-04-11,867490,TEXT,
6,2000-04-11,739608,TEXT,
7,2000-04-11,85417,TEXT,
8,2000-04-11,1016395,TEXT,
9,2000-04-11,790360,TEXT,
0,2000-04-13,1048911,TEXT,
1,2000-04-13,230211,TEXT,
2,2000-04-13,1012569,TEXT,
3,2000-04-13,355356,TEXT,
4,2000-04-13,866609,TEXT,
5,2000-04-13,51548,TEXT,
6,2000-04-13,921753,TEXT,
7,2000-04-13,898293,TEXT,
8,2000-04-13,1085776,TEXT,
9,2000-04-13,866273,TEXT,
0,2000-04-14,40675,TEXT,
1,2000-04-14,42582,TEXT,
2,2000-04-14,758540,HTML,
3,2000-04-14,923120,TEXT,
4,2000-04-14,914022,TEXT,
5,2000-04-14,47268,TEXT,
6,2000-04-14,706003,TEXT,
7,2000-04-14,932091,TEXT,
8,2000-04-14,932092,TEXT,
9,2000-04-14,861880,TEXT,
0,2000-04-14,847414,TEXT,
1,2000-04-14,736822,TEXT,
2,2000-04-14,1108345,TEXT,
3,2000-04-14,1045547,TEXT,
4,2000-04-14,818017,TEXT,
5,2000-04-14,723888,TEXT,
6,2000-04-14,795266,TEXT,
7,2000-04-14,1045539,TEXT,
8,2000-04-14,830253,TEXT,
9,2000-04-14,1045540,TEXT,
0,2000-04-11,4811,TEXT,
1,2000-04-11,1044269,TEXT,
2,2000-04-10,9128,TEXT,
3,2000-04-11,10329,TEXT,
4,2000-04-11,823277,TEXT,
5,2000-04-11,1031595,TEXT,
6,2000-04-11,23217,TEXT,
7,2000-04-11,940944,TEXT,
8,2000-04-11,726514,TEXT,
9,2000-04-11,727008,TEXT,
0,2000-04-10,846607,FAILED,
1,2000-04-10,946812,TEXT,
2,2000-04-10,777001,TEXT,
3,2000-04-10,806741,FAILED,
4,2000-04-10,16160,TEXT,
5,2000-04-10,1022381,TEXT,
6,2000-04-10,1037390,TEXT,
7,2000-04-10,47518,TEXT,
8,2000-04-10,829499,TEXT,
9,2000-04-10,806817,TEXT,
0,2000-04-11,90896,TEXT,
1,2000-04-11,704328,TEXT,
2,2000-04-11,740693,HTML,
3,2000-04-10,96879,TEXT,
4,2000-04-11,737203,TEXT,
5,2000-04-11,717954,TEXT,
6,2000-04-11,877273,TEXT,
7,2000-04-12,826411,TEXT,
8,2000-04-12,806514,TEXT,
9,2000-04-12,1061777,TEXT,
0,2000-04-12,84290,TEXT,
1,2000-04-12,748015,TEXT,
2,2000-04-12,318833,TEXT,
3,2000-04-12,97472,TEXT,
4,2000-04-12,104207,TEXT,
5,2000-04-12,104897,TEXT,
6,2000-04-13,1040470,TEXT,
8,2000-02-14,934330,TEXT,
9,2000-04-13,886046,TEXT,
0,2000-04-13,63754,TEXT,
1,2000-04-13,808219,TEXT,
2,2000-04-13,1095099,TEXT,
3,2000-04-13,948218,TEXT,
4,2000-04-13,895421,TEXT,
5,2000-04-13,70033,TEXT,
6,2000-04-13,352447,TEXT,
7,2000-04-13,823387,TEXT,
8,2000-04-13,876167,TEXT,
9,2000-04-13,85684,TEXT,
0,2000-04-13,922612,TEXT,
1,2000-04-13,810029,TEXT,
2,2000-04-13,868611,HTML,
3,2000-04-13,92769,TEXT,
4,2000-04-13,944142,TEXT,
5,2000-04-13,313277,TEXT,
6,2000-04-14,1750,TEXT,
7,2000-04-14,804888,TEXT,
8,2000-04-14,3545,TEXT,
9,2000-04-14,4828,HTML,
0,2000-04-14,1045541,TEXT,
1,2000-04-14,202375,TEXT,
2,2000-04-14,1065049,TEXT,
3,2000-04-14,806085,TEXT,
4,2000-04-14,728586,TEXT,
5,2000-04-14,920760,TEXT,
6,2000-04-14,876625,TEXT,
7,2000-04-14,59479,TEXT,
8,2000-04-14,1043044,TEXT,
9,2000-04-14,704366,TEXT,
0,2000-04-14,94887,TEXT,
1,2000-04-14,1045545,TEXT,
2,2000-04-14,96116,TEXT,
3,2000-04-14,928659,TEXT,
4,2000-04-14,110740,TEXT,
5,2000-04-14,70318,TEXT,
6,2000-04-14,313277,TEXT,
7,2000-04-14,1010610,TEXT,
8,2000-04-14,61442,TEXT,
9,2000-04-14,98559,TEXT,
0,2000-04-18,927003,TEXT,
1,2000-04-18,891159,TEXT,
2,2000-04-18,846871,TEXT,
3,2000-04-18,828744,TEXT,
4,2000-04-18,795280,TEXT,
5,2000-04-18,1059556,TEXT,
6,2000-04-18,866088,TEXT,
7,2000-04-18,866088,TEXT,
8,2000-04-18,1037478,TEXT,
9,2000-04-18,1060827,TEXT,
0,2000-03-31,810269,TEXT,
1,2000-04-03,1053706,TEXT,
2,2000-04-03,29504,TEXT,
3,2000-04-03,29504,TEXT,
4,2000-04-04,738076,TEXT,
5,2000-04-04,785321,TEXT,
6,2000-04-04,39047,TEXT,
7,2000-04-04,890662,TEXT,
8,2000-04-04,790526,TEXT,
9,2000-04-04,839087,TEXT,
0,2000-04-05,1057561,TEXT,
1,2000-04-06,1057561,TEXT,
2,2000-04-06,889353,TEXT,
3,2000-04-06,788983,TEXT,
4,2000-04-06,729213,TEXT,
5,2000-04-06,837173,TEXT,
6,2000-04-07,798538,TEXT,
7,2000-04-07,798538,TEXT,
8,2000-04-07,718916,TEXT,
9,2000-04-07,723254,TEXT,
0,2000-04-11,34136,TEXT,
1,2000-04-11,886206,TEXT,
2,2000-04-11,841692,TEXT,
3,2000-04-11,39368,TEXT,
4,2000-04-11,1029456,TEXT,
5,2000-04-11,40704,TEXT,
6,2000-04-11,42228,TEXT,
7,2000-04-11,853733,TEXT,
8,2000-04-11,885307,TEXT,
9,2000-04-11,875523,TEXT,
0,2000-04-14,704415,TEXT,
1,2000-04-14,790730,TEXT,
2,2000-04-14,929887,TEXT,
3,2000-04-14,6955,TEXT,
4,2000-04-14,785080,TEXT,
5,2000-04-14,1070042,TEXT,
6,2000-04-14,807707,TEXT,
7,2000-04-14,788330,TEXT,
8,2000-04-14,1045543,TEXT,
9,2000-04-14,351346,TEXT,
0,2000-04-14,717216,TEXT,
1,2000-04-14,747201,TEXT,
2,2000-04-14,815097,TEXT,
3,2000-04-14,913590,TEXT,
4,2000-04-14,830524,TEXT,
5,2000-04-14,19520,TEXT,
6,2000-04-14,823975,TEXT,
7,2000-04-14,22872,TEXT,
8,2000-04-14,24071,TEXT,
9,2000-04-14,1022693,TEXT,
0,2000-04-17,854460,TEXT,
1,2000-04-17,66382,HTML,
2,2000-04-17,906469,TEXT,
3,2000-04-17,1018349,TEXT,
4,2000-04-17,92284,TEXT,
5,2000-04-17,908141,TEXT,
6,2000-04-17,1085280,TEXT,
7,2000-04-17,98788,TEXT,
8,2000-04-17,715073,TEXT,
9,2000-04-18,796343,HTML,
0,2000-04-18,1095963,TEXT,
1,2000-04-18,801873,TEXT,
2,2000-04-18,68270,TEXT,
3,2000-04-18,949301,TEXT,
4,2000-04-18,797465,TEXT,
5,2000-04-18,931948,TEXT,
6,2000-04-19,4281,TEXT,
7,2000-04-19,1034670,TEXT,
8,2000-04-19,11856,TEXT,
9,2000-04-19,890640,HTML,
0,2000-04-20,9092,TEXT,
1,2000-04-20,764764,FAILED,
2,2000-04-20,764065,HTML,
3,2000-04-20,1060329,TEXT,
4,2000-04-20,319687,TEXT,
5,2000-04-20,37472,TEXT,
6,2000-04-20,42682,HTML,
7,2000-04-20,862480,TEXT,
8,2000-04-20,59860,FAILED,
9,2000-04-20,913032,TEXT,
0,2000-04-14,902277,TEXT,
1,2000-04-14,889409,TEXT,
2,2000-04-14,90721,TEXT,
3,2000-04-13,32166,TEXT,
4,2000-04-14,1013237,TEXT,
5,2000-04-14,34616,TEXT,
6,2000-04-14,744106,HTML,
7,2000-04-14,818897,TEXT,
8,2000-04-14,922200,TEXT,
9,2000-04-14,40888,TEXT,
0,2000-04-25,75042,TEXT,
1,2000-04-25,828916,TEXT,
2,2000-04-25,731647,TEXT,
3,2000-04-26,849667,TEXT,
4,2000-04-26,1084304,TEXT,
5,2000-04-26,809875,TEXT,
6,2000-04-26,354655,TEXT,
7,2000-04-26,887247,TEXT,
8,2000-04-26,914479,TEXT,
9,2000-04-26,1031951,TEXT,
0,2000-04-14,1000297,TEXT,
1,2000-04-14,921915,TEXT,
2,2000-04-14,901620,TEXT,
3,2000-04-14,922204,TEXT,
4,2000-04-14,355948,TEXT,
5,2000-04-14,783728,TEXT,
6,2000-04-14,110621,TEXT,
7,2000-04-14,727303,TEXT,
8,2000-04-14,701856,FAILED,
9,2000-04-14,755465,TEXT,
0,2000-04-14,108516,TEXT,
1,2000-04-14,721176,TEXT,
2,2000-04-14,1011006,HTML,
3,2000-04-17,721447,TEXT,
4,2000-04-17,25657,TEXT,
5,2000-04-17,29905,TEXT,
6,2000-04-17,815556,TEXT,
7,2000-04-17,355356,TEXT,
8,2000-04-17,859307,TEXT,
9,2000-04-17,914642,TEXT,
0,2000-04-19,313616,TEXT,
1,2000-04-19,922621,TEXT,
2,2000-04-19,912738,TEXT,
3,2000-04-19,43410,TEXT,
4,2000-04-19,844143,TEXT,
5,2000-04-19,313109,TEXT,
6,2000-04-19,945634,TEXT,
7,2000-04-19,1009675,TEXT,
8,2000-04-19,1003934,TEXT,
9,2000-04-19,868076,TEXT,
0,2000-04-21,1007587,TEXT,
1,2000-04-21,1076405,TEXT,
2,2000-04-21,802481,TEXT,
3,2000-04-21,97476,TEXT,
4,2000-04-24,813621,TEXT,
5,2000-04-24,704292,TEXT,
6,2000-04-24,21535,TEXT,
7,2000-04-24,1099369,TEXT,
8,2000-04-24,779282,TEXT,
9,2000-04-24,852426,TEXT,
0,2000-04-14,711377,TEXT,
1,2000-04-14,320187,TEXT,
2,2000-04-14,312155,TEXT,
3,2000-04-14,920947,TEXT,
4,2000-04-14,818010,TEXT,
5,2000-04-14,777676,TEXT,
6,2000-04-14,918580,HTML,
7,2000-04-14,855352,TEXT,
8,2000-04-14,1097504,TEXT,
9,2000-04-14,1045544,TEXT,
0,2000-04-14,912603,TEXT,
1,2000-04-14,866729,TEXT,
2,2000-04-14,87565,TEXT,
3,2000-04-14,914024,TEXT,
4,2000-04-14,926050,TEXT,
5,2000-04-14,731727,TEXT,
6,2000-04-14,354260,TEXT,
7,2000-04-14,874038,TEXT,
8,2000-04-14,811036,TEXT,
9,2000-04-14,811036,TEXT,
0,2000-04-14,1060595,TEXT,
1,2000-04-14,821538,HTML,
2,2000-04-14,1045542,TEXT,
3,2000-04-14,101462,TEXT,
4,2000-04-14,1040270,TEXT,
5,2000-04-14,101594,TEXT,
6,2000-04-14,102710,TEXT,
7,2000-04-14,1045546,TEXT,
8,2000-04-14,105132,HTML,
9,2000-04-14,1022368,TEXT,
1,2000-04-20,78311,TEXT,
2,2000-04-20,91142,TEXT,
3,2000-04-20,711034,FAILED,
4,2000-04-20,746838,TEXT,
5,2000-04-20,918252,TEXT,
6,2000-04-21,1087835,TEXT,
7,2000-04-21,947661,TEXT,
8,2000-04-21,846753,TEXT,
9,2000-04-21,1060888,TEXT,
0,2000-04-27,1001082,TEXT,
1,2000-04-27,704503,TEXT,
2,2000-04-27,1042895,TEXT,
3,2000-04-27,1086759,TEXT,
4,2000-04-27,832101,TEXT,
5,2000-04-27,49754,TEXT,
6,2000-04-27,203200,TEXT,
7,2000-04-27,1006264,TEXT,
8,2000-04-27,103341,TEXT,
9,2000-04-27,1022079,TEXT,
0,2000-04-13,723639,TEXT,
1,2000-04-13,9466,TEXT,
2,2000-04-13,9466,TEXT,
3,2000-04-13,9466,TEXT,
4,2000-04-13,794927,TEXT,
5,2000-04-13,879573,TEXT,
6,2000-04-13,356037,HTML,
7,2000-04-13,1063251,TEXT,
8,2000-04-13,225261,TEXT,
9,2000-04-13,802492,TEXT,
0,2000-04-27,893046,TEXT,
1,2000-04-27,912899,HTML,
2,2000-04-27,103973,FAILED,
3,2000-04-28,924383,TEXT,
4,2000-04-28,746631,TEXT,
5,2000-04-28,746631,TEXT,
6,2000-04-28,746631,TEXT,
7,2000-04-28,746631,TEXT,
8,2000-04-28,716629,TEXT,
9,2000-04-28,1059969,TEXT,
0,2000-04-28,805009,TEXT,
1,2000-04-28,13390,TEXT,
2,2000-04-28,805022,TEXT,
3,2000-04-28,1005407,TEXT,
4,2000-04-28,1021006,TEXT,
5,2000-04-28,60653,TEXT,
6,2000-04-28,22099,TEXT,
7,2000-04-28,1023131,TEXT,
8,2000-04-28,1017673,TEXT,
9,2000-04-28,311259,TEXT,
0,2000-04-26,39263,TEXT,
1,2000-04-26,870755,TEXT,
2,2000-04-26,28372,TEXT,
3,2000-04-26,105634,TEXT,
4,2000-04-26,912219,TEXT,
5,2000-04-26,1013047,TEXT,
6,2000-04-26,853816,TEXT,
7,2000-04-26,775158,TEXT,
8,2000-04-26,77476,TEXT,
9,2000-04-26,820096,TEXT,
0,2000-04-28,883984,TEXT,
1,2000-04-28,845434,HTML,
2,2000-04-28,57183,TEXT,
3,2000-04-28,1074902,TEXT,
4,2000-04-28,858660,TEXT,
5,2000-04-28,13547,TEXT,
6,2000-04-28,909298,TEXT,
7,2000-04-28,66029,TEXT,
8,2000-04-28,64247,HTML,
9,2000-04-28,865084,TEXT,
0,2000-04-26,1021285,TEXT,
1,2000-04-26,82925,TEXT,
2,2000-04-26,726990,TEXT,
3,2000-04-26,884219,TEXT,
4,2000-04-26,107681,TEXT,
5,2000-04-27,1013761,TEXT,
6,2000-04-27,933405,TEXT,
7,2000-04-27,3952,TEXT,
8,2000-04-27,318154,TEXT,
9,2000-04-27,853665,TEXT,
0,2000-04-26,1010397,TEXT,
1,2000-04-26,277923,TEXT,
2,2000-04-26,80255,TEXT,
3,2000-04-26,804328,TEXT,
4,2000-04-26,709296,TEXT,
5,2000-04-26,945841,HTML,
6,2000-04-26,1038074,TEXT,
7,2000-04-26,1002590,TEXT,
8,2000-04-26,718449,TEXT,
9,2000-04-26,32272,TEXT,
0,2000-04-24,40656,TEXT,
1,2000-04-24,818645,TEXT,
2,2000-04-24,930542,TEXT,
3,2000-04-24,1002811,TEXT,
4,2000-04-24,1078073,HTML,
5,2000-04-24,1059697,TEXT,
6,2000-04-25,1081944,TEXT,
7,2000-04-25,799033,TEXT,
8,2000-04-25,7623,TEXT,
9,2000-04-25,746631,TEXT,
0,2000-04-27,746631,TEXT,
1,2000-04-27,746631,TEXT,
2,2000-04-27,807877,TEXT,
3,2000-04-27,910079,TEXT,
4,2000-04-27,353650,TEXT,
5,2000-04-27,793933,TEXT,
6,2000-04-27,26172,FAILED,
7,2000-04-27,28823,HTML,
8,2000-04-27,1048897,TEXT,
9,2000-04-27,720481,TEXT,
0,2000-04-25,801128,TEXT,
1,2000-04-25,895419,TEXT,
2,2000-04-25,30305,TEXT,
3,2000-04-25,1001250,TEXT,
4,2000-04-25,1035976,FAILED,
5,2000-04-25,798354,TEXT,
6,2000-04-25,1083712,TEXT,
7,2000-04-25,57528,TEXT,
8,2000-04-25,70333,FAILED,
9,2000-04-25,1015923,TEXT,
0,2000-04-14,713138,TEXT,
1,2000-04-14,717588,TEXT,
